"","Study_ID","filename","group_id","plot_type","software","TL_mean","log_PFOS_mean","log_PFBA_mean","log_PFHxA_mean","log_PFOA_mean","log_PFUnDA_mean","log_PFTrDA_mean","log_PFBS_mean"
"24","S_023","Du_2021","PFHxA, species 8","Scatter plot","Webplot Digitiser",3.12806945,NA,NA,-1.751412429,NA,NA,NA,NA
"25","S_023","Du_2021","PFHxA, species 9","Scatter plot","Webplot Digitiser",3.23081163,NA,NA,-2.429378531,NA,NA,NA,NA
"26","S_023","Du_2021","PFHxA, species 10","Scatter plot","Webplot Digitiser",3.330742731,NA,NA,2.118644068,NA,NA,NA,NA
"27","S_023","Du_2021","PFHxA, species 11","Scatter plot","Webplot Digitiser",3.492241973,NA,NA,-1.779661017,NA,NA,NA,NA
"28","S_023","Du_2021","PFHxA, species 12","Scatter plot","Webplot Digitiser",3.576574342,NA,NA,-1.892655367,NA,NA,NA,NA
"29","S_023","Du_2021","PFHxA, species 13","Scatter plot","Webplot Digitiser",3.530494695,NA,NA,-2.175141243,NA,NA,NA,NA
"30","S_023","Du_2021","PFHxA, species 14","Scatter plot","Webplot Digitiser",3.471296679,NA,NA,-2.514124294,NA,NA,NA,NA
"31","S_023","Du_2021","PFHxA, species 15","Scatter plot","Webplot Digitiser",3.608157641,NA,NA,-2.372881356,NA,NA,NA,NA
"32","S_023","Du_2021","PFHxA, species 16","Scatter plot","Webplot Digitiser",3.579385421,NA,NA,-3.785310734,NA,NA,NA,NA
"33","S_023","Du_2021","PFOA, species 1","Scatter plot","Webplot Digitiser",1.989340869,NA,NA,NA,0.718722335,NA,NA,NA
"34","S_023","Du_2021","PFOA, species 2","Scatter plot","Webplot Digitiser",2.082948073,NA,NA,NA,-2.646701661,NA,NA,NA
"35","S_023","Du_2021","PFOA, species 3","Scatter plot","Webplot Digitiser",2.216187214,NA,NA,NA,-4.630730848,NA,NA,NA
"36","S_023","Du_2021","PFOA, species 4","Scatter plot","Webplot Digitiser",2.663316313,NA,NA,NA,0.492126372,NA,NA,NA
